X,Y,OBJECTID,FEATURE_LOCATION,FEAT_CENT_EAST,FEAT_CENT_NORTH,longitude,latitude
357757.14,173143.689999999,425,"West End Car Park, Level 3B Main Parking Area",357757.14,173143.69,-2.60936300511353,51.4556849996387
357770.65,173180.390000001,426,"West End Car Park, Level 2A Parking Area Upper End",357770.65,173180.39,-2.60917297037228,51.4560159951033
357757.14,173143.689999999,427,"West End Car Park, Level 2B Main Parking Area",357757.14,173143.69,-2.60936300511353,51.4556849996387
357769.01,173167.720000001,428,"West End Car Park, Level 2B Parking Area Opposite to Bridge Entrance/Exit",357769.01,173167.72,-2.60919505413303,51.4559019516375
357770.65,173180.390000001,429,"West End Car Park, Level 1A Parking Area Upper End",357770.65,173180.39,-2.60917297037228,51.4560159951033
357757.14,173143.689999999,430,"West End Car Park, Level 1B Main Parking Area",357757.14,173143.69,-2.60936300511353,51.4556849996387
357737.35,173161.76,431,"West End Car Park, Level 0 Vehicle Entry/Exit Ramp",357737.35,173161.76,-2.60964998992141,51.4558459900247
357746.67,173154.789999999,432,"West End Car Park, Level 7B Stairs and Lift Lobby",357746.67,173154.79,-2.60951502036466,51.4557840189823
357746.67,173154.789999999,433,"West End Car Park, Level 6A Stairs and Lift Lobby",357746.67,173154.79,-2.60951502036466,51.4557840189823
357723.06,173115.279999999,434,"West End Car Park, Level 6B Outside Front Stairwell Entrance",357723.06,173115.28,-2.60985007177931,51.4554269997373
357746.67,173154.789999999,435,"West End Car Park, Level 6B Stairs and Lift Lobby",357746.67,173154.79,-2.60951502036466,51.4557840189823
357746.67,173154.789999999,436,"West End Car Park, Level 5A Stairs and Lift Lobby",357746.67,173154.79,-2.60951502036466,51.4557840189823
357723.06,173115.279999999,437,"West End Car Park, Level 5B Outside front Stairwell Entrance",357723.06,173115.28,-2.60985007177931,51.4554269997373
357746.67,173154.789999999,438,"West End Car Park, Level 5B Stairs and Lift Lobby",357746.67,173154.79,-2.60951502036466,51.4557840189823
357746.67,173154.789999999,439,"West End Car Park, Level 4A Stairs and Lift Lobby",357746.67,173154.79,-2.60951502036466,51.4557840189823
357723.06,173115.279999999,440,"West End Car Park, Level 4B Outside Front Stairwell Entrance",357723.06,173115.28,-2.60985007177931,51.4554269997373
357746.67,173154.789999999,441,"West End Car Park, Level 4B Stairs and Lift Lobby",357746.67,173154.79,-2.60951502036466,51.4557840189823
357746.67,173154.789999999,442,"West End Car Park, Level 3A Stairs and Lift Lobby",357746.67,173154.79,-2.60951502036466,51.4557840189823
357723.06,173115.279999999,443,"West End Car Park, Level 3B Outside Front Stairwell Entrance",357723.06,173115.28,-2.60985007177931,51.4554269997373
357746.67,173154.789999999,444,"West End Car Park, Level 3B Stairs and Lift Lobby",357746.67,173154.79,-2.60951502036466,51.4557840189823
357746.67,173154.789999999,445,"West End Car Park, Level 2A Stairs and Lift Lobby",357746.67,173154.79,-2.60951502036466,51.4557840189823
357723.06,173115.279999999,446,"West End Car Park, Level 2B Outside Front Stairwell Entrance",357723.06,173115.28,-2.60985007177931,51.4554269997373
357746.67,173154.789999999,447,"West End Car Park, Level 2B Stairs and Lift Lobby",357746.67,173154.79,-2.60951502036466,51.4557840189823
357751.69,173157.189999999,448,"West End Car Park, Level 2B Pay Station",357751.69,173157.19,-2.60944306057908,51.4558059745663
357782.38,173179.4,449,"West End Car Park, Level 2B Entry Exit Bridge Right",357782.38,173179.4,-2.60900403296645,51.4560079723971
